Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type, Number of stop and searches , Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ,Population by ethnicity,"Rate per 1,000 population by ethnicity",Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported),Notes
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Dorset,Police Force Area,"6,800","6,728","744,041",9.14,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Durham,Police Force Area,"4,957","4,902","618,806",8.01,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Dyfed-Powys,Police Force Area,"14,574","14,203","515,114",28.29,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Essex,Police Force Area,"6,016","5,803","1,724,950",3.49,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Gloucestershire,Police Force Area,"4,482","4,447","596,984",7.51,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Greater Manchester,Police Force Area,"50,535","48,912","2,682,528",18.84,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Gwent,Police Force Area,"8,088","8,018","576,754",14.02,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Hampshire,Police Force Area,"27,116","26,013","1,897,991",14.29,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Hertfordshire,Police Force Area,"10,769","10,450","1,116,062",9.65,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Humberside,Police Force Area,"9,084","8,907","917,647",9.9,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Kent,Police Force Area,"11,850","11,595","1,727,665",6.86,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Lancashire,Police Force Area,"26,693","26,255","1,460,893",18.27,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Leicestershire,Police Force Area,"23,146","22,386","1,017,697",22.74,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Lincolnshire,Police Force Area,"9,704","9,651","713,653",13.6,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,"London, City of",Police Force Area,"4,609","4,078", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Merseyside,Police Force Area,"44,391","43,877","1,381,189",32.14,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Metropolitan Police,Police Force Area,"588,551","560,544","8,166,566",72.07,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Norfolk,Police Force Area,"15,643","15,350","857,888",18.23,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,North Wales,Police Force Area,"6,262","6,169","687,937",9.1,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,North Yorkshire,Police Force Area,"6,141","5,649","796,427",7.71,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Northamptonshire,Police Force Area,"12,848","12,681","691,952",18.57,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Northumbria,Police Force Area,"43,553","43,441","1,420,853",30.65,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Nottinghamshire,Police Force Area,"5,033","4,528","1,091,482",4.61,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,South Wales,Police Force Area,"14,064","13,847","1,283,651",10.96,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,South Yorkshire,Police Force Area,"24,013","23,106","1,343,601",17.87,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Staffordshire,Police Force Area,"11,253","11,170","1,097,497",10.25,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Suffolk,Police Force Area,"3,525","3,356","728,163",4.84,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Surrey,Police Force Area,"13,828","13,478","1,132,390",12.21,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Sussex,Police Force Area,"21,818","20,745","1,606,932",13.58,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Thames Valley,Police Force Area,"43,777","40,215","2,269,772",19.29,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Warwickshire,Police Force Area,"5,169","5,086","545,474",9.48,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,West Mercia,Police Force Area,"10,938","10,609","1,222,416",8.95,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,West Midlands,Police Force Area,"20,468","19,059","2,736,460",7.48,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,West Yorkshire,Police Force Area,"36,337","35,642","2,226,058",16.32,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Wiltshire,Police Force Area,"5,592","5,465","680,137",8.22,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All - excluding BTP,Police Force Area,"1,272,799","1,220,198","56,075,912",22.7,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All - including BTP,Police Force Area,"1,292,314","1,237,719","56,075,912",23.05,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Avon & Somerset,Police Force Area,"24,329","20,911","1,599,555",15.21,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Bedfordshire,Police Force Area,"7,621","6,886","615,061",12.39,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,British Transport Police,Police Force Area,"11,947","10,552", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Cambridgeshire,Police Force Area,"17,420","16,900","804,841",21.64,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Cheshire,Police Force Area,"7,914","7,787","1,027,709",7.7,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Cleveland,Police Force Area,"30,621","30,424","557,227",54.95,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Cumbria,Police Force Area,"14,102","13,685","499,858",28.21,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Derbyshire,Police Force Area,"15,142","14,875","1,018,438",14.87,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Devon & Cornwall,Police Force Area,"17,797","16,876","1,668,218",10.67,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Dorset,Police Force Area,"6,985","6,924","744,041",9.39,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Durham,Police Force Area,"5,304","5,272","618,806",8.57,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Dyfed-Powys,Police Force Area,"13,306","12,957","515,114",25.83,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Essex,Police Force Area,"3,749","3,629","1,724,950",2.17,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Gloucestershire,Police Force Area,"5,093","5,062","596,984",8.53,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Greater Manchester,Police Force Area,"52,431","50,524","2,682,528",19.55,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Gwent,Police Force Area,"7,303","7,188","576,754",12.66,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Hampshire,Police Force Area,"32,667","31,212","1,897,991",17.21,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Hertfordshire,Police Force Area,"9,857","9,329","1,116,062",8.83,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Humberside,Police Force Area,"10,547","10,363","917,647",11.49,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Kent,Police Force Area,"8,248","8,144","1,727,665",4.77,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Lancashire,Police Force Area,"21,261","20,851","1,460,893",14.55,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Leicestershire,Police Force Area,"10,652","10,091","1,017,697",10.47,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Lincolnshire,Police Force Area,"6,477","6,343","713,653",9.08,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,"London, City of",Police Force Area,"3,811","3,251", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Merseyside,Police Force Area,"26,019","25,691","1,381,189",18.84,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Metropolitan Police,Police Force Area,"507,680","480,702","8,166,566",62.17,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,Norfolk,Police Force Area,"16,326","16,047","857,888",19.03,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,North Wales,Police Force Area,"3,704","3,661","687,937",5.38,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,North Yorkshire,Police Force Area,"7,919","7,379","796,427",9.94,N/A,
